id,name,slug,type,address,city_id,lat,lng,is_open,is_nfc,cash_in,working_weekends,is_digital,work_hours_week,work_hours_saturday,work_hours_sunday,notes
1282,Stimul Hospital,stimul-hospital,A,"Stimul Hospital, Bakıxanov qəsəbəsi, Yavər Əliyev küçəsi. 26",1,40.43384,49.95631,1,0,0,0,0,,,,
1283,"Tayga Market, Binəqədi",tayga-market-binagadi,A,"Tayga Market, Binəqədi şossesi 308 c",1,40.43179,49.85184,1,0,0,0,0,,,,
1284,Tayga Market,tayga-market,A,"Tayga Market, Dərnəgül qəsəbəsi",1,40.41603,49.84957,1,0,0,0,0,,,,
1285,Nursel Market,nursel-market,A,"Nursel Market, Ə.Naxçıvani küçəsi 18/A",1,40.41622,49.84114,1,0,0,0,0,,,,
1286,"Araz, Binəqədi",araz-binagadi,A,"Araz, Binəqədi rayonu, Svetlana Məmmədova küçəsi 209F",1,40.42574,49.82926,1,0,0,0,0,,,,
1287,Sadko Market,sadko-market,A,"Sadko Market, Zərifə Əliyeva 13 ",38,41.42675,48.43096,1,0,0,0,0,,,,
1288,"Araz, Yeni Günəşli",araz-yeni-guneshli,A,"Araz, Suraxanı rayonu, Yeni Günəşli qəsəbəsi",1,40.369,49.97575,1,0,0,0,0,,,,
1289,"Araz, Cəfər Cabbarlı",araz-jafar-jabbarli,A,"Araz, Nərimanov rayonu, Qarabağ küçəsi      ",1,40.38894,49.85726,1,0,0,0,0,,,,
1290,"Araz, Bakıxanov",araz-bakixanov,A,"Araz, Şərifli küçəsi 25",1,40.41339,49.94951,1,0,0,0,0,,,,
1291,"Araz, AAAF Park",araz-aaaf-park,A,"Araz, AAAF Park yaşayış kompleksi",26,40.45726,49.723,1,0,0,0,0,,,,
1292,"Araz, Yeni Yasamal",araz-yeni-yasamal,A,"Araz, Nərimanov Rayonu, Nazim Hacıyev küçəsi ilə Faiq Yusifov küçəsiələrinin kəsişməsi, 1950 ci məhəllə",1,40.4021,49.87407,1,0,0,0,0,,,,
1293,"Araz, Yasamal",araz-yasamal,A,"Araz, Şərfizadə küçəsi",1,40.38211,49.80426,1,0,0,0,0,,,,
