name,branch_id,address,latitude,longitude,distance_km
OBA-RAMANA 15,OBA-RAMANA 15,OBA-RAMANA 15,40.4443320975452,49.986522,4.81
OBA-RAMANA 3,OBA-RAMANA 3,OBA-RAMANA 3,40.4444500975452,49.970109,4.82
OBA-QARAYEV 4,OBA-QARAYEV 4,OBA-QARAYEV 4,40.4197130975452,49.926252,4.84
OBA-ZIG 3,OBA-ZIG 3,OBA-ZIG 3,40.3579810975452,49.977477,4.85
OBA-SABUNCU 8,OBA-SABUNCU 8,OBA-SABUNCU 8,40.4412320975452,49.95428,4.85
OBA-XEZER 7,OBA-XEZER 7,OBA-XEZER 7,40.3602840975452,49.959562,4.85
OBA-KOMBINAT 2,OBA-KOMBINAT 2,OBA-KOMBINAT 2,40.3659660975452,49.944405,4.88
OBA-XEZER 3,OBA-XEZER 3,OBA-XEZER 3,40.3608840975452,49.956305,4.89
OBA-EMIRCAN 8,OBA-EMIRCAN 8,OBA-EMIRCAN 8,40.4420864411587,50.0006788236934,4.89
OBA-XEZER 8,OBA-XEZER 8,OBA-XEZER 8,40.3591994829694,49.9613630558192,4.92
OBA-BAKIXANOV 20,OBA-BAKIXANOV 20,OBA-BAKIXANOV 20,40.4336320975452,49.93777,4.94
OBA-RADIOZAVOD 7,OBA-RADIOZAVOD 7,OBA-RADIOZAVOD 7,40.3637763881142,49.9469421019447,4.97
OBA-KGUNESHLI 16,OBA-KGUNESHLI 16,OBA-KGUNESHLI 16,40.3572860975452,49.969864,4.98
OBA-QARAYEV 11,OBA-QARAYEV 11,OBA-QARAYEV 11,40.4209190975452,49.925084,4.98
NZS 9,NZS 9,NZS 9,40.3873587457591,49.9217501884067,5.03
OBA-NARGILE 5,OBA-NARGILE 5,OBA-NARGILE 5,40.3665905168009,49.9402487211615,5.05
OBA-ELEKTROTOK 2,OBA-ELEKTROTOK 2,OBA-ELEKTROTOK 2,40.3805990975452,49.924959,5.07
OBA-NZS 14,OBA-NZS 14,OBA-NZS 14,40.3904039719282,49.9200155180662,5.08
OBA-RAMANA 33,OBA-RAMANA 33,OBA-RAMANA 33,40.4444592390692,49.9998586000261,5.11
OBA-RAMANA 24,OBA-RAMANA 24,OBA-RAMANA 24,40.4470935793771,49.9890510468158,5.14
OBA-RAMANA 27,OBA-RAMANA 27,OBA-RAMANA 27,40.4471113327609,49.9890424879746,5.15
OBA-ELEKTROTOK 3,OBA-ELEKTROTOK 3,OBA-ELEKTROTOK 3,40.3767829617337,49.926023326439,5.21
OBA-KOHNE GUNESLI 10,OBA-KOHNE GUNESLI 10,OBA-KOHNE GUNESLI 10,40.3553300975452,49.967323,5.22
OBA-Nargile 3,OBA-Nargile 3,OBA-Nargile 3,40.3697640975452,49.932712,5.23
OBA-NZS 12,OBA-NZS 12,OBA-NZS 12,40.388862974992,49.9186641706945,5.23
OBA-SABUNCU 5,OBA-SABUNCU 5,OBA-SABUNCU 5,40.4438670975452,49.949995,5.27
OBA-RAMANA 16,OBA-RAMANA 16,OBA-RAMANA 16,40.4453100975452,50.003034,5.3
OBA-NZS 7,OBA-NZS 7,OBA-NZS 7,40.3833880975452,49.919539,5.36
OBA-SABUNCU 11,OBA-SABUNCU 11,OBA-SABUNCU 11,40.4467370975452,49.954341,5.41
OBA-SABUNCU 9,OBA-SABUNCU 9,OBA-SABUNCU 9,40.4419650975452,49.942348,5.42
OBA-NZS 5,OBA-NZS 5,OBA-NZS 5,40.3910780975452,49.914766,5.5
OBA-SABUNCU 15,OBA-SABUNCU 15,OBA-SABUNCU 15,40.4467780975452,49.949582,5.58
OBA-SABUNCU,OBA-SABUNCU,OBA-SABUNCU,40.4447590975452,49.943812,5.61
OBA-SABUNCU 7,OBA-SABUNCU 7,OBA-SABUNCU 7,40.4460190975452,49.946094,5.64
OBA-ELEKTROTOK,OBA-ELEKTROTOK,OBA-ELEKTROTOK,40.3760130975452,49.920109,5.68
OBA-BAHAR 1,OBA-BAHAR 1,OBA-BAHAR 1,40.3666380975452,50.027136,5.68
OBA-SABUNCU 21,OBA-SABUNCU 21,OBA-SABUNCU 21,40.4469283781685,49.9464499964485,5.71
OBA-NZS 10,OBA-NZS 10,OBA-NZS 10,40.3864913053746,49.9135951251615,5.72
OBA-SABUNCU 2,OBA-SABUNCU 2,OBA-SABUNCU 2,40.4471240975452,49.945441,5.77
OBA-YENI SURAXANI 5,OBA-YENI SURAXANI 5,OBA-YENI SURAXANI 5,40.4288421397761,50.0362355338741,5.78
OBA-SABUNCU 13,OBA-SABUNCU 13,OBA-SABUNCU 13,40.4466570975452,49.943785,5.8
OBA-YENI SURAXANI 1,OBA-YENI SURAXANI 1,OBA-YENI SURAXANI 1,40.4328140975452,50.033117,5.81
OBA-SABUNCU 19,OBA-SABUNCU 19,OBA-SABUNCU 19,40.4419222744543,49.9333215807106,5.88
OBA-BAHAR 2,OBA-BAHAR 2,OBA-BAHAR 2,40.3668537618254,50.0306062868249,5.88
OBA-SABUNCU 4,OBA-SABUNCU 4,OBA-SABUNCU 4,40.4421710975452,49.933037,5.91
OBA-KOROGLU 1,OBA-KOROGLU 1,OBA-KOROGLU 1,40.4151232912091,49.9106120120992,5.92
OBA-SABUNCU 3,OBA-SABUNCU 3,OBA-SABUNCU 3,40.4398340975452,49.928335,5.99
YENI SURAXANI 4,YENI SURAXANI 4,YENI SURAXANI 4,40.4253333173973,50.0417405172423,5.99
OBA-SABUNCU 17,OBA-SABUNCU 17,OBA-SABUNCU 17,40.4461292668932,49.9382713979122,6
OBA-YENI SURAXANI 3,OBA-YENI SURAXANI 3,OBA-YENI SURAXANI 3,40.4318420975452,50.038467,6.11
OBA-QUM ADASI,OBA-QUM ADASI,OBA-QUM ADASI,40.3487550975452,49.998611,6.12
OBA-SABUNCU 12,OBA-SABUNCU 12,OBA-SABUNCU 12,40.4425990975452,49.929898,6.12
OBA-NZS,OBA-NZS,OBA-NZS,40.3882440975452,49.907791,6.14
OBA-RAMANA 10,OBA-RAMANA 10,OBA-RAMANA 10,40.4509810975452,50.01127,6.17
RAMANA 23,RAMANA 23,RAMANA 23,40.4570532676295,49.9875754689749,6.22
OBA-NZS 13,OBA-NZS 13,OBA-NZS 13,40.3954525632191,49.9049279902805,6.24
OBA-SABUNCU 14,OBA-SABUNCU 14,OBA-SABUNCU 14,40.4469310975452,49.933818,6.29
OBA-NAXIMOV 3,OBA-NAXIMOV 3,OBA-NAXIMOV 3,40.3449750975452,49.985243,6.32
OBA-NZS 15,OBA-NZS 15,OBA-NZS 15,40.3866021757668,49.9059371797607,6.34
OBA-RAMANA 13,OBA-RAMANA 13,OBA-RAMANA 13,40.4586600975452,49.982487,6.36
OBA-NZS 16,OBA-NZS 16,OBA-NZS 16,40.394098063353,49.9036262153445,6.37
OBA-QUM ADASI 2,OBA-QUM ADASI 2,OBA-QUM ADASI 2,40.344722,49.989,6.39
OBA-SABUNCU 10,OBA-SABUNCU 10,OBA-SABUNCU 10,40.4445860975452,49.927153,6.44
OBA-NZS 8,OBA-NZS 8,OBA-NZS 8,40.3866800975452,49.904465,6.46
OBA-SABUNCU 6,OBA-SABUNCU 6,OBA-SABUNCU 6,40.4529290975452,49.942307,6.47
